pogo_pin,net,test_point,fixture_pin,x_mm,y_mm,probing,coverage
P01,3V3,TP1,A1,5.0,5.0,"1.0mm pad, ICT, bottom-only, 2.54mm pitch",100%
P02,GND,TP2,B1,17.0,5.0,"1.0mm pad, ICT, bottom-only, 2.54mm pitch",100%
P03,1V8,TP3,C1,29.0,5.0,"1.0mm pad, ICT, bottom-only, 2.54mm pitch",100%
P04,1V0,TP4,D1,41.0,5.0,"1.0mm pad, ICT, bottom-only, 2.54mm pitch",100%
P05,12V,TP5,E1,53.0,5.0,"1.0mm pad, ICT, bottom-only, 2.54mm pitch",100%
P06,GND2,TP6,F1,65.0,5.0,"1.0mm pad, ICT, bottom-only, 2.54mm pitch",100%
P07,OSC_25M,TP7,G1,77.0,5.0,"1.0mm pad, ICT, bottom-only, 2.54mm pitch",100%
P08,NRST,TP8,H1,89.0,5.0,"1.0mm pad, ICT, bottom-only, 2.54mm pitch",100%
P09,BOOT0,TP9,A2,5.0,15.0,"1.0mm pad, ICT, bottom-only, 2.54mm pitch",100%
P10,JTAG_TCK,TP10,B2,17.0,15.0,"1.0mm pad, ICT, bottom-only, 2.54mm pitch",100%
P11,JTAG_TMS,TP11,C2,29.0,15.0,"1.0mm pad, ICT, bottom-only, 2.54mm pitch",100%
P12,JTAG_TDI,TP12,D2,41.0,15.0,"1.0mm pad, ICT, bottom-only, 2.54mm pitch",100%
P13,JTAG_TDO,TP13,E2,53.0,15.0,"1.0mm pad, ICT, bottom-only, 2.54mm pitch",100%
P14,JTAG_TRST,TP14,F2,65.0,15.0,"1.0mm pad, ICT, bottom-only, 2.54mm pitch",100%
P15,SWDIO,TP15,G2,77.0,15.0,"1.0mm pad, ICT, bottom-only, 2.54mm pitch",100%
P16,SWCLK,TP16,H2,89.0,15.0,"1.0mm pad, ICT, bottom-only, 2.54mm pitch",100%
P17,RMII_REF_CLK,TP17,A3,5.0,25.0,"1.0mm pad, ICT, bottom-only, 2.54mm pitch",100%
P18,RMII_TXEN,TP18,B3,17.0,25.0,"1.0mm pad, ICT, bottom-only, 2.54mm pitch",100%
